model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
lesion_segmentation,359,377,410,146,6610897.0,6690422784.0,3358062592.0,0.0,6690422784.0,3358062592.0,,N/A,256,512,64,128.0,179.5,post_placement,75,787,N/A,N/A,N/A,N/A,N/A,178,128,144,80,4,28,0,991232,256,3,4,64,False,False,True,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.12533566615831532,0.19050301437265202,,,,0.39186699034580014,0.7905579135212771,0.9880629421223713,0.9728864917112791,0.8573706755786689,0.8484282451785848,0.6563396895011792,0.20578846943100998,,no runtime data,no runtime data,N/A,0.6090509662900903,0.9257224901831423,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,196608.0,65536.0,860160.0,860160.0,0.0,0.0
lesion_segmentation_context_0,0.044291110683029114,0.057697988491166884,,0.609375,0.25390625,0.19140625,0.529689944015356,1.0,0.9957188489615495,0.6839491272683188,0.8163265306122449,0.38595695633747096,0.06030577442772984,,1296.4409454943816,0.0007713425,0.0002789,0.7344422835678427,0.9567572763751154,,no runtime data,,,,,196608.0,0.0,0.0,442368.0,0.0,0.0
lesion_segmentation_context_1,0.05236379131312612,0.1491172134757872,,0.59375,0.396484375,0.359375,0.7363355772924124,1.0,0.9997114705263455,0.7771500109369252,0.9565217391304348,0.5893636280647319,0.2025937471472516,,2331.559405219196,0.0004288975,0.0012304924999999999,0.2584669667769482,0.7360405519692771,,no runtime data,,,,,0.0,0.0,49152.0,352256.0,0.0,0.0
lesion_segmentation_context_2,0.20697534764736517,0.20760679550832747,,0.4375,0.509765625,0.32421875,0.8307892680168152,1.0,0.9696969696969697,1.0,0.7951807228915663,0.8056138356526693,0.2076973170042038,,1490.6795262620465,0.000670835,2.339999999999981e-06,0.9965239350837449,0.9995641662724296,,no runtime data,,,,,0.0,0.0,352256.0,65536.0,0.0,0.0
lesion_segmentation_context_3,0.22942279345418637,0.2972313846186693,,0.609375,0.376953125,0.52734375,0.8479410146704196,0.9785068394547173,0.9643818673330427,0.8596692822881931,0.8518518518518519,0.6908319761135466,0.3103346767697573,,930.8993418541653,0.00107423,0.000378855,0.7392754037100376,0.9577768998054654,,no runtime data,,,,,0.0,65536.0,458752.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,256,256,3,3,1,1,,,input_layer1,conv1,0,196608.0,,4676.89,85527,,1,1,1,8,1,1,0.0,,1,1,False,,False,,254.89065551757812,679.7084350585938,lesion_segmentation/normalization1,1,0,1,0.751965,0,3,0.3831304609775543,0.28734785318374634,0.10620443880645526,16,2048,lesion_segmentation_context_0,False,0.000753095,0,393216.0,0,8,0.0,255.0,0.017124753445386887,0.017507003620266914,-2.2382609844207764,2.640000104904175,8,8,16,0.3831304609775543,1.0,0.375,0.2772017618632449,1.0,0.039826664552420725,False,False,False
conv1,conv,256,256,32,3,3,3,2,2,normalization1,dw1,896.0,14680064.0,,1423.41,281016,110592.0,2,1,1,16,2,4,0.0,1,1,1,False,,False,,254.89065551757812,679.7084350585938,lesion_segmentation/conv1,2,0,1,0.7602175000000001,0,16,0.410282701253891,0.23321092128753662,0.37368614971806763,4,4096,lesion_segmentation_context_0,False,0.00076259,0,28311552.0,8192,8,-2.2382609844207764,2.640000104904175,-0.3002701997756958,0.32835447788238525,0.0,3.5309371948242188,8,8,16,0.410282701253891,1.0,1.0,0.9108016218476228,1.0,0.37368614971806763,False,False,False
dw1,dw,128,128,32,32,3,3,1,1,conv1,conv2,320.0,5242880,,1306.82,306087,18432,5.0,3.0,5.0,32,1,5.0,,1,1,1,False,,False,combined (SPATIAL_W),1699.2710876464844,1359.4168701171875,,2.0,0.0,3.0,0.76439,0,32,0.5565967679023742,0.3284737542271614,0.44095587521362495,12.0,8192,lesion_segmentation_context_0,False,0.0007741575,0,9437184,32768,8,0.0,3.5309371948242188,-15.505960464477539,11.19916820526123,0.0,6.0,8,8,16,0.5030162110752794,1.0,1.0,0.990208424134575,0.8,0.49809262344252436,False,False,False
conv2,conv,128,128,16,32,1,1,1,1,dw1,conv3 concat4,528.0,8650752.0,,2414.69,165653,131072.0,1,1,1,16,2,1,0.0,1,1,1,False,,False,,679.7084350585938,339.8542175292969,lesion_segmentation/conv2,1,0,1,0.758035,0,16,0.8159707188606262,0.1978110820055008,0.43809331617089464,16,2048,lesion_segmentation_context_0,False,0.000778965,0,16777216.0,256,8,0.0,6.0,-1.023557186126709,0.9142639636993408,-7.868749141693115,16.90323829650879,8,8,16,0.8159707188606262,1.0,1.0,0.536898329859952,1.0,0.43809331617089464,False,False,False
conv3,conv,128,128,96,16,1,1,1,1,conv2,dw2,1632.0,26738688.0,,1416.49,282389,196608.0,2,1,1,48,6,2,0.0,1,1,1,False,,False,,339.8542175292969,2039.125244140625,lesion_segmentation/conv3,2,0,1,0.762595,0,48,0.739745557308197,0.6962310671806335,0.6770533458959686,2,12288,lesion_segmentation_context_0,False,0.0007867575,0,50331648.0,1536,8,-7.868749141693115,16.90323829650879,-0.5219839811325073,0.7847430109977722,0.0,5.396875381469727,8,8,16,0.739745557308197,1.0,1.0,0.9152516553930323,1.0,0.6770533458959686,False,False,False
dw2,dw,128,128,96,96,3,3,2,2,conv3,conv4,960.0,3932160,,1461.17,273753,9216,10.0,10.0,10.0,96,1,24.0,,1,1,1,False,,False,combined (INPUT_FEATURES),5862.485191345215,509.7813262939453,,6.0,0.0,10.0,0.7677825,0,96,0.5548589885234831,0.3932651434093714,0.29206221500216634,318.0,17152,lesion_segmentation_context_0,False,0.0008099375,0,7077888,0,8,0.0,5.396875381469727,-6.40006685256958,5.030960559844971,0.0,4.813155174255371,8,8,16,0.29924786090850825,1.0,1.0,0.8872614953798087,0.6,0.2655111045588921,False,False,False
conv4,conv,64,64,24,96,1,1,1,1,dw2,conv5 conv6,2328.0,9535488.0,,2402.62,166485,147456.0,1,1,1,24,3,1,0.0,1,1,1,False,,False,,509.78131103515625,127.44532775878906,lesion_segmentation/conv4,1,0,1,0.759235,0,24,0.894927442073822,0.073808453977108,0.48289830779990817,170,192,lesion_segmentation_context_0,False,0.00081211,0,18874368.0,0,8,0.0,4.813155174255371,-0.7465551495552063,0.7632176280021667,-6.6857452392578125,6.229898929595947,8,8,16,0.894927442073822,1.0,1.0,0.5395949270265803,1.0,0.48289830779990817,False,True,True
conv5,conv,64,64,144,24,1,1,1,1,conv4,dw3,3600.0,14745600.0,,2489.71,160661,110592.0,2,1,2,72,9,1,0.0,1,1,1,True,,False,,127.44532775878906,764.6719970703125,lesion_segmentation/conv5,1,0,1,0.7602475,0,72,0.7170377373695374,0.4589041471481323,0.37337499205452584,3,9216,lesion_segmentation_context_0,False,0.000813955,0,28311552.0,2304,8,-6.6857452392578125,6.229898929595947,-0.34535157680511475,0.3286876082420349,0.0,4.853261947631836,8,8,16,0.7170377373695374,1.0,1.0,0.520718746860182,1.0,0.37337499205452584,False,True,False
dw3,dw,64,64,144,144,3,3,1,1,conv5,conv6,1440.0,5898240,,1750.2,228545,13824,8.0,5.0,8.0,144,1,13.0,,1,1,1,False,,False,combined (INPUT_FEATURES),1784.234619140625,764.6719665527344,,3.0,0.0,5.0,0.76398,0,144,0.6144220679998398,0.4420947387814522,0.3400629528987964,67.0,13440,lesion_segmentation_context_0,False,0.000845335,0,10616832,36864,8,0.0,4.853261947631836,-7.165837287902832,4.754451751708984,0.0,5.094908714294434,8,8,16,0.5045833587646484,1.0,1.0,0.7407377397200336,0.75,0.3737639366716685,False,False,False
conv6,conv,64|64,64|64,24,144|24,1,1,1,1,dw3 conv4,conv7 concat3,3480.0,14254080.0,,1476.03,270997,221184.0,1,1,1,24,3,2,0.0,1,1,1,False,,True,,764.6719970703125,127.44532775878906,lesion_segmentation/conv6,1,0,1,0.760665,0,24,0.9578851461410522,0.04534367471933365,0.8413383190631489,42,1536,lesion_segmentation_context_0,False,0.000847645,0,28311552.0,384,8,N/A,N/A,-0.8706780076026917,1.222295880317688,-9.632197380065918,18.27928352355957,8,8,16,0.9578851461410522,1.0,1.0,0.8783290172653524,1.0,0.8413383190631489,False,True,False
